date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:13	72220/72220	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jun%202022%2009:28:13%20GMT	https://www.ibis-styles-dubai-airport.com/rooms/standard-king/	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/rooms/standard-king/index.html	(from )
11:28:13	137/137	---MC-	200	added ('OK')	text/plain	date:Fri,%2010%20Jun%202022%2009:28:13%20GMT	https://www.ibis-styles-dubai-airport.com/robots.txt		(from )
11:28:13	6231/6231	---M--	200	added ('OK')	text/javascript	etag:%22e0c86-1857-5dabad4789dc0%22	https://www.ibis-styles-dubai-airport.com/wp-content/plugins/accor-admin-customizations/js/aria.min.js	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/plugins/accor-admin-customizations/js/aria.min.js	(from https://www.ibis-styles-dubai-airport.com/rooms/standard-king/)
11:28:13	2673/2673	---M--	200	added ('OK')	image/png	etag:%22120453-a71-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/favicon/apple-touch-icon.png	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/favicon/apple-touch-icon.png	(from https://www.ibis-styles-dubai-airport.com/rooms/standard-king/)
11:28:14	756/756	---M--	200	added ('OK')	image/png	etag:%22120456-2f4-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/favicon/favicon-32x32.png	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/favicon/favicon-32x32.png	(from https://www.ibis-styles-dubai-airport.com/rooms/standard-king/)
11:28:14	582/582	---M--	200	added ('OK')	image/png	etag:%22120455-246-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/favicon/favicon-16x16.png	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/favicon/favicon-16x16.png	(from https://www.ibis-styles-dubai-airport.com/rooms/standard-king/)
11:28:14	5664/5664	---M--	200	added ('OK')	image/png	etag:%22120461-1620-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/logo/logo-ibis-styles.png	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/images/logo/logo-ibis-styles.png	(from https://www.ibis-styles-dubai-airport.com/rooms/standard-king/)
11:28:15	53261/53261	---M--	200	added ('OK')	image/jpeg	etag:%227ec0fa4efbd7863128217bb7121ce34e%22	https://dq5r178u4t83b.cloudfront.net/wp-content/uploads/sites/161/2021/07/01154618/Standard-Double-Bed_1-724x357.jpg	D:/medip/twicpics/dubai/dubai/room/room/dq5r178u4t83b.cloudfront.net/wp-content/uploads/sites/161/2021/07/01154618/Standard-Double-Bed_1-724x357.jpg	(from https://www.ibis-styles-dubai-airport.com/rooms/standard-king/)
11:28:15	207319/207319	---M--	200	added ('OK')	image/jpeg	etag:%2295a4dede551fe0c5a8f550e761b6f975%22	https://dq5r178u4t83b.cloudfront.net/wp-content/uploads/sites/161/2021/07/01154618/Standard-Double-Bed_1.jpg	D:/medip/twicpics/dubai/dubai/room/room/dq5r178u4t83b.cloudfront.net/wp-content/uploads/sites/161/2021/07/01154618/Standard-Double-Bed_1.jpg	(from https://www.ibis-styles-dubai-airport.com/rooms/standard-king/)
11:28:16	55300/55300	---M--	200	added ('OK')	image/jpeg	etag:%22f9965346a4c2149b4e5b250c78e29fdd%22	https://dq5r178u4t83b.cloudfront.net/wp-content/uploads/sites/161/2021/07/01162743/5337-371-724x357.jpg	D:/medip/twicpics/dubai/dubai/room/room/dq5r178u4t83b.cloudfront.net/wp-content/uploads/sites/161/2021/07/01162743/5337-371-724x357.jpg	(from https://www.ibis-styles-dubai-airport.com/rooms/standard-king/)
11:28:18	32877/32877	---M-Z	200	added ('OK')	text/css	etag:W/%22620cd701-806d%22	http://code.jquery.com/ui/1.9.2/themes/base/jquery-ui.css?ver=3.5.1	D:/medip/twicpics/dubai/dubai/room/room/code.jquery.com/ui/1.9.2/themes/base/jquery-ui9d52.css	(from https://www.ibis-styles-dubai-airport.com/rooms/standard-king/)
11:28:18	101212/101212	---M--	200	added ('OK')	image/jpeg	etag:%2220860fff19e770fa2ccac7379372fe31%22	https://dq5r178u4t83b.cloudfront.net/wp-content/uploads/sites/161/2021/07/01162743/5337-371.jpg	D:/medip/twicpics/dubai/dubai/room/room/dq5r178u4t83b.cloudfront.net/wp-content/uploads/sites/161/2021/07/01162743/5337-371.jpg	(from https://www.ibis-styles-dubai-airport.com/rooms/standard-king/)
11:28:18	11089/11089	---M--	200	added ('OK')	text/css	etag:%221203bb-2b51-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/reset.css	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/reset.css	(from https://www.ibis-styles-dubai-airport.com/rooms/standard-king/)
11:28:18	4464/4464	---M--	200	added ('OK')	text/css	etag:%221203ba-1170-58fed1bdc5940%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/jquery.fancybox.css	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/jquery.fancybox.css	(from https://www.ibis-styles-dubai-airport.com/rooms/standard-king/)
11:28:18	121500/121500	---M--	200	added ('OK')	text/css	etag:%221203b9-1da9c-5db0c3ba03980%22	https://www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css	D:/medip/twicpics/dubai/dubai/room/room/www.ibis-styles-dubai-airport.com/wp-content/themes/ibis-style-template/css/custom.css	(from https://www.ibis-styles-dubai-airport.com/rooms/standard-king/)
